DATE,LNU07100000
2016-08-01,1949
2016-09-01,2511
2016-10-01,1944
2016-11-01,1801
2016-12-01,1530
2017-01-01,1658
2017-02-01,2299
2017-03-01,1901
2017-04-01,1998
2017-05-01,1735
2017-06-01,1838
2017-07-01,2044
2017-08-01,1904
2017-09-01,2488
2017-10-01,1821
2017-11-01,1581
2017-12-01,1500
2018-01-01,1425
2018-02-01,2112
2018-03-01,1862
2018-04-01,1864
2018-05-01,1558
2018-06-01,1606
2018-07-01,1786
2018-08-01,2144
2018-09-01,1962
2018-10-01,1661
2018-11-01,1501
2018-12-01,1378
2019-01-01,1434
2019-02-01,2071
2019-03-01,1770
2019-04-01,1704
2019-05-01,1555
2019-06-01,1513
2019-07-01,1704
2019-08-01,2005
2019-09-01,1932
2019-10-01,1402
2019-11-01,1440
2019-12-01,1465
2020-01-01,1480
2020-02-01,1716
2020-03-01,1440
2020-04-01,1576
2020-05-01,7584
2020-06-01,7495
2020-07-01,5286
2020-08-01,4791
2020-09-01,3563
2020-10-01,3567
2020-11-01,2355
2020-12-01,2109
2021-01-01,2248
2021-02-01,2559
2021-03-01,2310
2021-04-01,2597
2021-05-01,2132
2021-06-01,1923
2021-07-01,2615
2021-08-01,2370
2021-09-01,2483
2021-10-01,1925
2021-11-01,1862
2021-12-01,1595
2022-01-01,1540
2022-02-01,2152
2022-03-01,1942
